mm,vv,nn,tt
1.92,0.641,13,2250
2.00,0.674,23,2500
2.04,0.475,23,2750
1.94,0.556,33,3000
1.97,0.606,96,3250
1.83,0.709,46,3500
2.28,0.846,60,3750
2.15,0.690,53,4000
1.96,0.685,52,4250
1.88,0.719,16,4500
2.06,0.727,31,4750
2.61,1.320,61,5000
4.22,0.941,63,5250
4.12,0.865,98,5500
4.22,0.736,23,5750
3.69,0.896,32,6000
3.37,0.731,35,6250
3.35,0.487,23,6500
2.81,0.403,16,6750
3.14,0.899,36,7000
2.35,0.606,17,7250
2.82,0.751,11,7500
2.81,0.602,21,7750
2.36,0.633,14,8000
2.79,0.781,33,8250
2.52,0.580,27,8500
2.73,0.767,22,8750
2.87,0.900,47,9000
2.75,0.847,24,9250
2.95,0.705,41,9500
2.65,0.686,43,9750
2.70,0.787,94,10000
2.40,0.818,48,10250
2.46,0.855,72,10500
2.24,0.708,33,10750
2.59,0.844,27,11000
2.33,0.673,54,11250
2.13,0.520,53,11500
2.25,0.568,32,11750
2.54,0.808,46,12000
2.49,0.702,68,12250
2.40,0.689,62,12500
2.37,0.629,76,12750
2.32,0.530,37,13000
2.59,0.797,27,13250
2.38,0.622,29,13500
2.40,0.606,50,13750
2.31,0.718,35,14000
2.40,0.623,43,14250
2.46,0.709,57,14500
2.34,0.614,29,14750
2.32,0.657,76,15000
2.28,0.679,40,15250
2.29,0.611,14,15500
2.64,0.727,22,15750
2.37,0.645,46,16000
2.28,0.650,65,16250
2.36,0.574,44,16500
2.18,0.720,88,16750
2.24,0.699,41,17000
2.33,0.715,43,17250
2.37,0.629,27,17500
2.43,0.608,35,17750
2.02,0.590,44,18000
2.06,0.680,31,18250
2.04,0.611,25,18500
2.44,0.892,16,18750
2.62,0.506,13,19000
2.50,0.548,19,19250
2.55,0.858,22,19500
2.76,1.017,34,19750
2.25,0.568,32,20000
2.25,0.672,32,20250
2.17,0.545,53,20500
2.13,0.695,39,20750
2.11,0.937,19,21000
1.91,0.417,23,21250
2.09,0.390,32,21500
