mm,vv,nn,tt
2.87,0.14,96,4500
2.84,0.14,93,4750
2.82,0.11,45,5000
2.69,0.21,59,5250
2.23,0.36,27,5500
2.16,0.26,21,5750
2.02,0.32,24,6000
2.09,0.28,35,6250
2.04,0.29,15,6500
1.58,0.29,24,6750
1.57,0.32,25,7000
1.30,0.26,55,7250
1.44,0.25,48,7500
1.36,0.23,60,7750
1.25,0.22,43,8000
1.40,0.25,57,8250
1.26,0.21,93,8500
1.16,0.20,68,8750
1.15,0.17,78,9000
1.24,0.22,44,9250
1.17,0.19,67,9500
1.17,0.19,81,9750
1.36,0.26,37,10000
1.33,0.24,85,10250
1.45,0.25,54,10500
1.25,0.22,80,10750
1.36,0.24,58,11000
1.36,0.27,36,11250
1.40,0.29,32,11500
1.29,0.25,22,11750
1.44,0.25,61,12000
1.50,0.31,26,12250
1.46,0.28,43,12500
1.52,0.23,66,12750
1.31,0.22,26,13000
1.44,0.30,43,13250
1.37,0.25,67,13500
1.47,0.29,38,13750
1.30,0.25,38,14500
1.35,0.27,69,14750
1.32,0.25,55,15000
1.20,0.19,55,15250
1.15,0.18,84,15500
1.23,0.20,37,15750
1.10,0.14,43,16000
1.16,0.17,30,16250
1.14,0.18,52,16500
1.05,0.11,51,16750
1.05,0.15,29,17000
1.09,0.14,47,17250
1.23,0.20,20,17500
1.32,0.29,10,18250
1.38,0.29,12,19000
